feature,importance
categorical__specialty_need_True,0.3168129861831445
categorical__monitoring_required_False,0.3033336690316999
categorical__oxygen_support_room air,0.18036049606031734
numeric__heart_rate,0.08925378747639849
numeric__systolic_bp,0.04854807473550576
categorical__monitoring_required_unknown,0.026050492790569896
categorical__requested_service_cardiology,0.01794212756500868
categorical__specialty_need_False,0.01609710102363022
categorical__oxygen_support_unknown,0.0016012651337252745
categorical__oxygen_support_noninvasive ventilation,0.0
categorical__oxygen_support_nasal cannula,0.0
categorical__oxygen_support_mechanical ventilation,0.0
categorical__oxygen_support_high-flow nasal cannula,0.0
categorical__monitoring_required_True,0.0
categorical__vasopressor_use_False,0.0
categorical__vasopressor_use_True,0.0
categorical__vasopressor_use_unknown,0.0
categorical__requested_service_internal medicine,0.0
categorical__requested_service_neurosurgery,0.0
categorical__specialty_need_unknown,0.0
categorical__requested_service_critical care,0.0
categorical__requested_service_pulmonology,0.0
categorical__requested_service_orthopedics,0.0
categorical__requested_service_unknown,0.0
categorical__requested_service_transplant,0.0
numeric__spo2,0.0
numeric__missingindicator_systolic_bp,0.0
numeric__missingindicator_heart_rate,0.0
numeric__missingindicator_spo2,0.0
