dimension,group,approach,n,accuracy,macro_f1,coverage,icu_false_negatives
age_band,18-39,rules,69,0.6376811594202898,0.7487315010570824,0.6376811594202898,1
age_band,18-39,decision_tree,69,0.9565217391304348,0.9504721124286342,1.0,0
age_band,40-64,rules,86,0.7093023255813954,0.8087606837606838,0.7093023255813954,0
age_band,40-64,decision_tree,86,0.9767441860465116,0.9764520202020203,1.0,0
age_band,65+,rules,95,0.8210526315789474,0.8750144959049069,0.8210526315789474,1
age_band,65+,decision_tree,95,0.9894736842105263,0.9879551820728292,1.0,0
referring_facility,Synthetic Lakeside Center,rules,42,0.7619047619047619,0.8571428571428571,0.7619047619047619,0
referring_facility,Synthetic Lakeside Center,decision_tree,42,1.0,1.0,1.0,0
referring_facility,Synthetic North Hospital,rules,43,0.7209302325581395,0.8181818181818181,0.7209302325581395,1
referring_facility,Synthetic North Hospital,decision_tree,43,0.9767441860465116,0.9721485411140585,1.0,0
referring_facility,Synthetic Prairie Hospital,rules,61,0.7704918032786885,0.8417105263157895,0.7704918032786885,0
referring_facility,Synthetic Prairie Hospital,decision_tree,61,0.9836065573770492,0.9810659186535764,1.0,0
referring_facility,Synthetic Valley ED,rules,58,0.7241379310344828,0.8281900452488686,0.7241379310344828,0
referring_facility,Synthetic Valley ED,decision_tree,58,0.9827586206896551,0.9843597262952102,1.0,0
referring_facility,Synthetic West Community,rules,46,0.6739130434782609,0.768125960061444,0.6739130434782609,1
referring_facility,Synthetic West Community,decision_tree,46,0.9347826086956522,0.9337197889829469,1.0,0
completeness_group,complete routing fields,rules,114,1.0,1.0,1.0,0
completeness_group,complete routing fields,decision_tree,114,1.0,1.0,1.0,0
completeness_group,incomplete routing fields,rules,136,0.5073529411764706,0.6128205128205128,0.5073529411764706,2
completeness_group,incomplete routing fields,decision_tree,136,0.9558823529411765,0.9552455856013247,1.0,0
template_family,6,rules,125,0.72,0.8081613231191185,0.72,2
template_family,6,decision_tree,125,0.968,0.964217940049583,1.0,0
template_family,7,rules,125,0.744,0.8279793345819567,0.744,0
template_family,7,decision_tree,125,0.984,0.9841269841269842,1.0,0
